hhid,zone,state,lga,sector,ea,year,crop_code,crop_code_text,field_size,quant_harv_kg,value_harvest,value_harvest_hh,ha_planted,ha_harvest,number_trees_planted,percent_field,percent_inputs,ha_harv_yld,ha_plan_yld,sales_value,kgs_sold,land_size,farm_area,farm_size_agland,n_kg,p_kg,k_kg,n_org_kg,npk_kg,urea_kg,inorg_fert_kg,org_fert_kg,pest_kg,herb_kg,all_use_inorg_fert,use_pest,use_herb,annual_selfemp_profit,annual_salary,annual_salary_agwage,labor_family,labor_hired,labor_nonhired,total_labor_day,wave,plot_id_x,plot_id_y,t2m,rh2m,prectotcorr,year_former,actor1,conflict_event,total_fatalities,total_combined_fatalities,total_number_conflict_event,military_presence
50139,north east,bauchi,asari toro,rural,1588.0,2019,1070,guinea corn (sorghum),1.149399995803833,1500.0,210000.0,210000.0,1.149399995803833,1.149399995803833,0.0,1.0,1.0,1.149399995803833,1.149399995803833,0.0,0.0,1.974889986217022,1.8898899853229523,1.8898899853229523,161.0,0.0,0.0,0.0,0.0,350.0,350.0,0.0,0.0,8.0,1.0,0.0,1.0,360000.0,0.0,0.0,27.0,9.0,0.0,36.0,1,,,24.594531105990782,54.68549091141833,88.22000000000001,,,0.0,0.0,0.0,0.0,0.0
50152,north east,bauchi,asari toro,rural,1304.0,2019,1070,guinea corn (sorghum),0.29220399260520935,200.0,28000.0,28000.0,0.29220399260520935,0.29220399260520935,0.0,1.0,1.0,0.29220399260520935,0.29220399260520935,0.0,0.0,1.9980069994926453,1.9980069994926453,1.9980069994926453,110.0,12.0,11.0,5.0,100.0,200.0,300.0,500.0,0.0,10.0,1.0,0.0,1.0,552000.0,0.0,0.0,64.0,2.0,0.0,66.0,1,,,24.594531105990782,54.68549091141833,88.22000000000001,,,0.0,0.0,0.0,0.0,0.0
50153,north east,bauchi,asari toro,rural,1304.0,2019,1070,guinea corn (sorghum),0.3441010117530823,300.0,42000.0,42000.0,0.3441010117530823,0.22710667550563812,0.0,1.0,1.0,0.22710667550563812,0.3441010117530823,0.0,0.0,2.3392060175538063,1.2392060160636902,2.23920601606369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,132000.0,0.0,0.0,63.0,0.0,0.0,63.0,1,,,24.594531105990782,54.68549091141833,88.22000000000001,,,0.0,0.0,0.0,0.0,0.0
50155,north east,bauchi,asari toro,rural,1304.0,2019,1070,guinea corn (sorghum),1.1363999843597412,1000.0,140000.0,140000.0,1.1363999843597412,1.1363999843597412,0.0,1.0,1.0,1.1363999843597412,1.1363999843597412,0.0,0.0,2.8192099779844284,2.754209980368614,2.754209980368614,251.0,60.0,55.0,0.0,500.0,350.0,850.0,0.0,18.0,19.0,1.0,1.0,1.0,60000.0,0.0,0.0,30.0,0.0,7.0,37.0,1,,,24.594531105990782,54.68549091141833,88.22000000000001,,,0.0,0.0,0.0,0.0,0.0
50156,north east,bauchi,asari toro,rural,1304.0,2019,1070,guinea corn (sorghum),1.2977999448776245,600.0,84000.0,84000.0,1.2977999448776245,1.2977999448776245,0.0,1.0,1.0,1.2977999448776245,1.2977999448776245,0.0,0.0,1.8088799566030502,1.733879953622818,1.733879953622818,27.0,18.0,16.5,0.0,150.0,0.0,150.0,0.0,0.0,10.0,1.0,0.0,1.0,-12000.0,0.0,0.0,55.0,20.0,10.0,85.0,1,,,24.594531105990782,54.68549091141833,88.22000000000001,,,0.0,0.0,0.0,0.0,0.0
50157,north east,bauchi,asari toro,rural,1304.0,2019,1070,guinea corn (sorghum),0.36963000893592834,100.0,14000.0,14000.0,0.12321000546216965,0.12321000546216965,0.0,0.3333333432674408,0.3333333432674408,0.12321000546216965,0.12321000546216965,0.0,0.0,0.8087900076061487,0.7987900078296661,0.7987900078296661,105.0,24.0,22.0,0.0,200.0,150.0,350.0,0.0,5.0,2.0,1.0,1.0,1.0,29400.0,0.0,0.0,32.0,0.0,8.0,40.0,1,,,24.594531105990782,54.68549091141833,88.22000000000001,,,0.0,0.0,0.0,0.0,0.0
50158,north east,bauchi,asari toro,rural,1304.0,2019,1070,guinea corn (sorghum),0.07061199843883514,0.0,0.0,0.0,0.07061199843883514,0.0,0.0,1.0,1.0,0.0,0.07061199843883514,0.0,0.0,0.3637620061635971,0.3637620061635971,0.3637620061635971,9.0,6.0,5.5,0.0,50.0,0.0,50.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,1,,,24.594531105990782,54.68549091141833,88.22000000000001,,,0.0,0.0,0.0,0.0,0.0
50160,north east,bauchi,asari toro,rural,1304.0,2019,1070,guinea corn (sorghum),0.0966930016875267,0.0,0.0,0.0,0.0966930016875267,0.0,0.0,1.0,1.0,0.0,0.0966930016875267,0.0,0.0,0.14669300243258476,0.0966930016875267,0.0966930016875267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,1,,,24.594531105990782,54.68549091141833,88.22000000000001,,,0.0,0.0,0.0,0.0,0.0
50161,north east,bauchi,zaki,rural,1756.0,2019,1070,guinea corn (sorghum),2.6352999210357666,700.0,98000.0,98000.0,0.9784749746322632,0.7512277364730835,0.0,0.75,0.75,0.7512277364730835,0.9784749746322632,0.0,0.0,4.23341996408999,4.223419964313507,4.223419964313507,41.0,12.0,11.0,75.0,100.0,50.0,150.0,7500.0,0.0,0.0,1.0,0.0,0.0,288000.0,0.0,0.0,95.0,12.0,71.0,178.0,1,,,27.804796979006657,40.623132488479264,52.494166666666665,,,0.0,0.0,0.0,0.0,0.0
50162,north east,bauchi,zaki,rural,1756.0,2019,1070,guinea corn (sorghum),2.557099938392639,1000.0,140000.0,140000.0,0.7493583261966705,0.7493583261966705,0.0,0.5833333432674408,0.5833333432674408,0.7493583261966705,0.7493583261966705,14000.0,200.0,2.557099938392639,2.557099938392639,2.557099938392639,0.0,0.0,0.0,50.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,131720.0,0.0,0.0,494.0,40.0,274.0,808.0,1,,,27.804796979006657,40.623132488479264,52.494166666666665,,,0.0,0.0,0.0,0.0,0.0
